SKU_ID,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22
AS110081,,,,2,,3,1,2,1,2,,1,0,0,0,0
AS110089,,,,,,,,1,,,,,0,0,0,0
AS110094,,2,,,,,1,,,,,,0,0,0,0
AS110100,,,,,,,,,,1,,1,0,0,1,0
AS110103,,,,,,,,,,,,1,0,0,0,0
AS110104,,,,,2,,2,,,,,,0,0,0,0
AS110125,1,2,,1,1,1,1,,,,,1,1,1,1,1
AS110159,1,,,1,1,1,,1,,,1,1,0,2,1,0
AS110165,12,9,13,10,11,10,9,9,7,7,6,9,13,8,9,10
AS110169,,,,,,,,,1,4,2,1,1,3,2,1
AS110173,1,2,1,2,2,1,2,1,2,2,2,3,3,2,4,2
AS110174,13,11,11,14,12,9,13,10,8,8,9,6,5,7,8,8
AS110177,1,1,,1,,1,1,,1,,,1,2,0,0,0
AS110178,4,6,4,4,6,5,5,5,4,1,3,3,5,4,5,5
AS110180,3,3,2,3,2,3,3,3,1,4,,1,0,1,0,1
AS110196,1,1,2,1,4,1,3,2,1,2,3,2,3,3,3,2
AS110204,1,,,,,,,,,,,,0,0,0,0
AS110222,,,,,,,,,,,2,,0,0,1,0
AS110260,1,,,,,,,,,,,,0,0,0,0
AS110268,5,5,6,3,5,6,3,8,3,5,6,5,6,4,10,4
AS110269,3,2,4,3,5,4,2,5,3,3,4,3,4,3,3,3
AS110333,,,,,,,,,1,1,1,,0,0,0,0
AS130030,,1,,1,1,,,,,,2,,0,0,0,0
AS130148,,1,1,1,1,1,1,2,3,4,4,3,3,2,3,1
AS150001,1,,,,,,,,,,,,0,0,0,0
AS170057,1,,,,,,,,,,,,0,0,0,0
AS170068,2,3,,,,,,,,,,,0,0,0,0
AS170070,4,1,2,2,2,2,3,1,2,1,1,1,1,0,0,0
AS170094,,,1,,,,,,,,,,0,0,0,0
AS170136,,,,,,,4,3,,3,,3,2,3,2,1
AS170138,,,,1,2,2,2,2,1,3,1,1,4,2,1,1
AS170140,,,,1,2,1,2,1,,2,1,,2,2,2,1
AS170148,,,,,,,,,,,2,,0,0,1,0
AS170225,,,,1,1,1,3,2,,2,2,2,4,2,2,2
AS170226,,,,,,,,1,,1,1,,1,1,1,0
AS170228,,,,,,2,1,2,,,,2,3,2,3,1
